ID,Type,Subject,Text,Image,Option1,Option2,Option3,Option4,Answer
"61582bfe19a9dd0534fe321d","Text","Science & Mathematics","Milk contains……. Acid","undefined","Citric ","Hydrochloric","Lactic ","None of these","C"
"61582e5b19a9dd0534fe3221","Image","Technical Reasoning","undefined","ea17ced4-fce7-41d1-819e-cf11a07caddc.png","a","b","c","","B"
"615838c519a9dd0534fe3286","Text","Science & Mathematics","Present day lighting uses ","undefined","LED	","LCD       ","Fluorescent tube  ","Incandescent lamp","A"
"6158398d19a9dd0534fe328a","Text","Science & Mathematics","The best insulator of electricity is ……………………. ","undefined","Copper ","Wood ","Steel","Salt water","B"
"615839e719a9dd0534fe328d","Text","Science & Mathematics","H2O is ……………….","undefined","Water ","Acid ","Alkaline ","Gas ","A"
"61583a1e19a9dd0534fe3290","Text","Science & Mathematics","Which of the following is used in pencils?","undefined","Graphite","Charcoal ","Silicon ","Phosphorus","A"
"61583a6819a9dd0534fe3294","Text","Science & Mathematics","If selling price is greater than cost price than profit is ……………….","undefined","Selling Price- Cost Price ","Cost Price - Selling Price","Selling Price - Profit ","None of these","A"
"61583aa819a9dd0534fe3297","Text","Science & Mathematics","1 meter is equal to ……………… millimeters.","undefined","1000 ","100 ","10 ","01","A"
"61583f9119a9dd0534fe329b","Image","Science & Mathematics","undefined","e58121c4-c822-4ff6-976a-93e27576235c.png","A","B","C","D","A"
"6158400c19a9dd0534fe329e","Image","Science & Mathematics","undefined","f8c99417-9e05-4174-8a37-4f6c333017d3.png","A","B","C","D","A"
"6158408219a9dd0534fe32a2","Image","Science & Mathematics","undefined","396e2644-9613-47b3-a525-5a99a80794a1.png","A","B","C","D","B"
"615840f819a9dd0534fe32a5","Text","Science & Mathematics","A triangle whose all 3 sides are equal is called as………….. Triangle","undefined","Equilateral ","Right angle ","Isosceles","Obtuse angle ","A"
"6158414e19a9dd0534fe32a9","Text","Science & Mathematics","Two angles of a triangle measure 25° and 85 ° then the third angle is  ","undefined","80° ","55°","70° ","50°","A"
"6158418219a9dd0534fe32ac","Text","Science & Mathematics","A cube consists of …………. faces","undefined","6","4","3","2","A"
"615841bd19a9dd0534fe32af","Text","Science & Mathematics","(5 x 6) + 4 =?","undefined","15","17","34","16","C"
"6158420f19a9dd0534fe32b3","Text","Science & Mathematics","Add the following 5m 70cm + 3m 20cm + 4m 30cm","undefined","10m ","13m 20cm	","12m 40cm","None of these","B"
"6158427619a9dd0534fe32b6","Text","Science & Mathematics","Find 20% of ₹600","undefined","₹ 15","₹ 50	","₹ 90","₹ 120","D"
"615842d519a9dd0534fe32ba","Text","Science & Mathematics","Find the cost of 2.5 m cloth at the rate of ₹ 50 per meter","undefined","₹ 165","₹ 125","₹ 175","₹ 155","B"
"6158434019a9dd0534fe32bd","Text","Science & Mathematics","Find the place value of 5 in 70504","undefined","50000","500","50,000","5000","B"
"615843a119a9dd0534fe32c1","Text","Science & Mathematics","In a city 20 plots were sold for ₹500000; calculate the cost of one plot.","undefined","10000    ","10100     ","25000     ","50000","C"
"615843de19a9dd0534fe32c4","Text","Science & Mathematics","IF X=5, Y=4, Z=6, Find 2X + 3Y + 5Z","undefined","52       ","50          ","62       ","1","A"
"6158442c19a9dd0534fe32c7","Text","English","Select the odd one out","undefined","John","Mary","Sitting","Job","C"
"6158447919a9dd0534fe32cb","Text","English","She is………….good girl.","undefined","an","the ","a","none","A"
"6158454319a9dd0534fe32cf","Text","English","Adjective describes a ……………….","undefined","noun","pronoun","verb","interjection","A"
"6158459719a9dd0534fe32d2","Text","English","Preposition relates a noun or pronoun to another word like……………….. ","undefined","and","if"," but ","on","D"
"615845d019a9dd0534fe32d5","Text","English","Opposite word for happiness is …………………….","undefined","sadness","joyful","cheerful","none","A"
"6158466019a9dd0534fe32d9","Text","English","Read the following paragraph and answer the questions
There was once a boy who would never pay any attention to his studies. His parent sent him to school, but he look to playing on the road and did not care for the opinion of even those friends who helped him in danger. One day a gentleman who was on the lookout for a boy-servant, happened to come across him, wandering all alone in the street. He carried him away to a different town and made him work day and night as a servant. Now the boy repented his folly and one day while his master was fast sleep, he slipped away and after a good deal of trouble, reached home. He now applied himself hard to his books and rose to be a great man. 

Who sent him to school?","undefined","A servant ","A boy ","Parents   ","A gentle man","C"
"6158469b19a9dd0534fe32dc","Text","English","Who helped him in danger?","undefined","Friends ","Parents        ","A gentleman  ","A boy-servant ","A"
"615846f519a9dd0534fe32df","Text","English","What did the gentleman make him do; day and night?","undefined","Play  ","Study    ","work         ","Sleep","C"
"6158473419a9dd0534fe32e3","Text","English","“The boy slipped away when the master was …..” complete the sentence:","undefined","Working     ","sleeping","Playing cards","Having lunch","B"
"615847dc19a9dd0534fe32e6","Text","English","The opposite gender for the word ‘Gentleman’ is:","undefined","Gentle-woman ","Lady ","Gentle-men  ","Gentle lady.","B"
"61584d4519a9dd0534fe3301","Text","General Knowledge","The capital city of India is………….","undefined","New Delhi","Mumbai","Kolkata","Ahmedabad","A"
"61584d7c19a9dd0534fe3305","Text","General Knowledge","The national tree of our county is ………….","undefined","mango","banyan","banana","apple","B"
"61584daf19a9dd0534fe3308","Text","General Knowledge","Who was the first woman president of India………….?","undefined","PrathibaPatil ","Sarojini Naidu","Mother Teresa ","Annie Besant;","A"
